,URN,zonei,east,north,MSOA
3613,105911,3613,374026,402211,E02001163
3614,106760,3614,459176,402207,E02001565
3615,145453,3615,337767,402199,E02001447
3616,147553,3616,459033,402186,E02001557
3617,143962,3617,456663,402128,E02001561
3618,131331,3618,369483,402125,E02001311
3619,143194,3619,456107,402125,E02001560
3620,147797,3620,461296,402106,E02001562
3621,106584,3621,426841,402098,E02001535
3622,106235,3622,398035,402095,E02001231
3623,105918,3623,373291,402087,E02001163
3624,139497,3624,383731,402084,E02001052
3625,140661,3625,384059,402024,E02001052
3626,134784,3626,390221,401974,E02001128
3627,105488,3627,386197,401943,E02001050
3628,106210,3628,397079,401931,E02001229
3629,140087,3629,365037,401928,E02001313
3630,105638,3630,391819,401921,E02001127
3631,105521,3631,384298,401915,E02001052
3632,105928,3632,381911,401903,E02001167
3633,105724,3633,391713,401894,E02001127
3634,105428,3634,386687,401889,E02001051
3635,106707,3635,453697,401887,E02001559
3636,106722,3636,453475,401876,E02001559
3637,144324,3637,441366,401869,E02001578
3638,106767,3638,463833,401854,E02001564
3639,106503,3639,364810,401820,E02001313
3640,105452,3640,385293,401813,E02001052
3641,106470,3641,363011,401806,E02001312
3642,106481,3642,365221,401805,E02001313
3643,105955,3643,376743,401764,E02001165
3644,105948,3644,377384,401759,E02001165
3645,120469,3645,504254,401718,E02005492
3646,139056,3646,385646,401702,E02001050
3647,144372,3647,378747,401678,E02001164
3648,144412,3648,460439,401674,E02001565
3649,105957,3649,378090,401664,E02001168
3650,138543,3650,382910,401628,E02001166
3651,106422,3651,364518,401625,E02001313
3652,104927,3652,332257,401618,E02001449
3653,106433,3653,370726,401602,E02001315
3654,105424,3654,387041,401593,E02001051
3655,104882,3655,338662,401551,E02001447
3656,105526,3656,387333,401542,E02001051
3657,130396,3657,373022,401536,E02001169
3658,106638,3658,439412,401518,E02001537
3659,104780,3659,348007,401497,E02001406
3660,120482,3660,531395,401484,E02005424
3661,138036,3661,369638,401479,E02001314
3662,105649,3662,388944,401461,E02001129
3663,105924,3663,377602,401446,E02001168
3664,106595,3664,434606,401433,E02001536
3665,106414,3665,359689,401393,E02001310
3666,146670,3666,390081,401388,E02001129
3667,106484,3667,371724,401379,E02001315
3668,104925,3668,337607,401356,E02001448
3669,106216,3669,394586,401355,E02001230
3670,106591,3670,437805,401355,E02001537
3671,105893,3671,382833,401320,E02001166
3672,104814,3672,347647,401278,E02001406
3673,146227,3673,388192,401270,E02001049
3674,105910,3674,376895,401231,E02001165
3675,137601,3675,383723,401188,E02006915
3676,106506,3676,367900,401185,E02001317
3677,106626,3677,428700,401160,E02001535
3678,106504,3678,371258,401114,E02001315
3679,106191,3679,398617,401107,E02001231
3680,106917,3680,442352,401063,E02001578
3681,120590,3681,511824,401057,E02005492
3682,143480,3682,443029,401036,E02001578
3683,131037,3683,378618,401035,E02001171
3684,105970,3684,383425,400988,E02001172
3685,105663,3685,389431,400972,E02001131
3686,105942,3686,371964,400961,E02001169
3687,106517,3687,365638,400953,E02001316
3688,137335,3688,465382,400951,E02001564
3689,145933,3689,455221,400940,E02001567
3690,105949,3690,374714,400923,E02001170
3691,104790,3691,348036,400904,E02001406
3692,105727,3692,389519,400896,E02001131
3693,105688,3693,391207,400874,E02001130
3694,104869,3694,337771,400873,E02001447
3695,146792,3695,383597,400869,E02001172
3696,144197,3696,442065,400853,E02001578
3697,106726,3697,448475,400846,E02001568
3698,105886,3698,381711,400818,E02001167
3699,140482,3699,385704,400815,E02001053
3700,143451,3700,456548,400799,E02001566
3701,145935,3701,460748,400793,E02001563
3702,145622,3702,384665,400779,E02006913
3703,106256,3703,395030,400767,E02001230
3704,106599,3704,437765,400767,E02001537
3705,106489,3705,356194,400756,E02001304
3706,106438,3706,356898,400753,E02001318
3707,105527,3707,386305,400734,E02001053
3708,140170,3708,444326,400723,E02001579
3709,137556,3709,376160,400696,E02001170
3710,105929,3710,379255,400691,E02001174
3711,105962,3711,382414,400672,E02001172
3712,145080,3712,462155,400666,E02001563
3713,105933,3713,372149,400663,E02001169
3714,143581,3714,447649,400659,E02001569
3715,106482,3715,369769,400648,E02001314
3716,144539,3716,446327,400617,E02001569
3717,106942,3717,443495,400613,E02001579
3718,120579,3718,535141,400609,E02005424
3719,120473,3719,488703,400589,E02005493
3720,146177,3720,395683,400580,E02001232
3721,140460,3721,436210,400568,E02001536
3722,106756,3722,454207,400550,E02001571
3723,134235,3723,455274,400549,E02001567
3724,145930,3724,447174,400543,E02001569
3725,144569,3725,394179,400542,E02001234
3726,143544,3726,443464,400540,E02001579
3727,106640,3727,436927,400525,E02001538
3728,106249,3728,393127,400514,E02001233
3729,104479,3729,341709,400499,E02001327
3730,141966,3730,383572,400497,E02006915
3731,106502,3731,365526,400465,E02001316
3732,105966,3732,379257,400435,E02001174
3733,106418,3733,365513,400433,E02001316
3734,105525,3734,384337,400423,E02006915
3735,104797,3735,355810,400414,E02001408
3736,135841,3736,364169,400381,E02001319
3737,104798,3737,353402,400375,E02001407
3738,104934,3738,333664,400374,E02001449
3739,144609,3739,365729,400368,E02001316
3740,105505,3740,388350,400347,E02001055
3741,105889,3741,379929,400346,E02001173
3742,105490,3742,386082,400324,E02001053
3743,106516,3743,365503,400323,E02001316
3744,106430,3744,357424,400318,E02001318
3745,105656,3745,389532,400290,E02001131
3746,144698,3746,393116,400287,E02001233
3747,118011,3747,477248,400273,E02002771
3748,106510,3748,369448,400257,E02001315
3749,105963,3749,381392,400240,E02001173
3750,106637,3750,434595,400227,E02001536
3751,105932,3751,381215,400224,E02001173
3752,141972,3752,438682,400220,E02001537
3753,105548,3753,385340,400216,E02006913
3754,104890,3754,331598,400204,E02001450
3755,140242,3755,435489,400195,E02001536
3756,104444,3756,341251,400150,E02001327
3757,105514,3757,388335,400150,E02001055
3758,106195,3758,398213,400150,E02001231
3759,104921,3759,331909,400144,E02001450
3760,138653,3760,387767,400142,E02001056
3761,105532,3761,385261,400139,E02006913
3762,141973,3762,436948,400120,E02001538
3763,120465,3763,510732,400088,E02005492
3764,104447,3764,341815,400073,E02001327
3765,105496,3765,388650,400070,E02001055
3766,104859,3766,335257,400068,E02001451
3767,140427,3767,395550,400054,E02001232
3768,135085,3768,336011,400035,E02001451
3769,106242,3769,398156,400019,E02001237
3770,106190,3770,396242,400016,E02001231
3771,140353,3771,457260,399964,E02001566
3772,106683,3772,448314,399958,E02001568
3773,105884,3773,378825,399933,E02001171
3774,105894,3774,378825,399933,E02001171
3775,106229,3775,394393,399913,E02001234
3776,105461,3776,383466,399912,E02006915
3777,106501,3777,366308,399845,E02001317
3778,104871,3778,333021,399761,E02001452
3779,105904,3779,377045,399740,E02001176
3780,106448,3780,366859,399725,E02001320
3781,104926,3781,332475,399724,E02001453
3782,106512,3782,365635,399711,E02001323
3783,146716,3783,393521,399711,E02001234
3784,106509,3784,358871,399693,E02001321
3785,106746,3785,464998,399677,E02001576
3786,143514,3786,449913,399668,E02001570
3787,104872,3787,333107,399641,E02001452
3788,104813,3788,352510,399637,E02001407
3789,131285,3789,394532,399621,E02001235
3790,137811,3790,523853,399616,E02002748
3791,136076,3791,382585,399568,E02001172
3792,104889,3792,339759,399565,E02001454
3793,104778,3793,355427,399532,E02001408
3794,104779,3794,353024,399502,E02001407
3795,138713,3795,475338,399483,E02002771
3796,106771,3796,450260,399442,E02001570
3797,106424,3797,357272,399437,E02001322
3798,147916,3798,394229,399412,E02001235
3799,105905,3799,375672,399411,E02001175
3800,142934,3800,450553,399404,E02001570
3801,137951,3801,395988,399401,E02001236
3802,143321,3802,445777,399397,E02001580
3803,105387,3803,385090,399378,E02006902
3804,106465,3804,358219,399363,E02001321
3805,106201,3805,394425,399356,E02001235
3806,138704,3806,467607,399346,E02001564
3807,104900,3807,335747,399325,E02001457
3808,104937,3808,330732,399324,E02001450
3809,104856,3809,335067,399295,E02001457
3810,105535,3810,385154,399266,E02006902
3811,104466,3811,342152,399262,E02001327
3812,144347,3812,453737,399255,E02001571
3813,105930,3813,379538,399239,E02001177
3814,120461,3814,535994,399236,E02005425
3815,135279,3815,386033,399223,E02001057
3816,106488,3816,357553,399196,E02001322
3817,104910,3817,334937,399195,E02001457
3818,144483,3818,451181,399193,E02001570
3819,105540,3819,388395,399192,E02001056
3820,104922,3820,330905,399166,E02001450
3821,105896,3821,382933,399164,E02001178
3822,104940,3822,337961,399158,E02001454
3823,136080,3823,380744,399153,E02001179
3824,104432,3824,340688,399108,E02001328
3825,140053,3825,367018,399086,E02001320
3826,146703,3826,394526,399065,E02001235
3827,105902,3827,377822,399060,E02001176
3828,104464,3828,340407,399005,E02001330
3829,135807,3829,341700,399000,E02001329
3830,104448,3830,341127,398984,E02001328
3831,105964,3831,382838,398963,E02001178
3832,143652,3832,444718,398895,E02001580
3833,105449,3833,387576,398894,E02001059
3834,137629,3834,450553,398873,E02001573
3835,146480,3835,389992,398854,E02001239
3836,104431,3836,339944,398832,E02001330
3837,136079,3837,380400,398830,E02001179
3838,104868,3838,337581,398821,E02001455
3839,132198,3839,335654,398788,E02001457
3840,143551,3840,397056,398768,E02001237
3841,104935,3841,333626,398760,E02001452
3842,106253,3842,390350,398759,E02001239
3843,145928,3843,445795,398719,E02001580
3844,105954,3844,375521,398710,E02001181
3845,106773,3845,453677,398701,E02001572
3846,141759,3846,392712,398629,E02001241
3847,132147,3847,380957,398607,E02001180
3848,142464,3848,450584,398603,E02001573
3849,104878,3849,333674,398542,E02001459
3850,105935,3850,376504,398537,E02001183
3851,139598,3851,385129,398505,E02006912
3852,147917,3852,397558,398504,E02001237
3853,137455,3853,460979,398490,E02001575
3854,139078,3854,388723,398481,E02001056
3855,142499,3855,390708,398471,E02001238
3856,105953,3856,377448,398469,E02001182
3857,147730,3857,381581,398465,E02001178
3858,146187,3858,334882,398430,E02001459
3859,104870,3859,332139,398429,E02001458
3860,144345,3860,462580,398420,E02001574
3861,105944,3861,382636,398418,E02001178
3862,139868,3862,529013,398379,E02005424
3863,104928,3863,331619,398369,E02001458
3864,104920,3864,331685,398358,E02001458
3865,105934,3865,377387,398341,E02001182
3866,106192,3866,393996,398296,E02001245
3867,131884,3867,385766,398266,E02001057
3868,140340,3868,461912,398249,E02001575
3869,105906,3869,375936,398226,E02001181
3870,134661,3870,352287,398220,E02001409
3871,144198,3871,438331,398216,E02001584
3872,141445,3872,389510,398212,E02001240
3873,106188,3873,396153,398185,E02001243
3874,105903,3874,376715,398181,E02001182
3875,117739,3875,493522,398177,E02002770
3876,106247,3876,390532,398175,E02001238
3877,104461,3877,341749,398170,E02001331
